03-20 23:05:43: Training starting...
03-20 23:05:44: New best reward 19.0 (-100.0%) at episode 0, saving model...
03-20 23:05:44: New best reward 37.0 (+94.7%) at episode 2, saving model...
03-20 23:05:44: New best reward 53.0 (+43.2%) at episode 20, saving model...
03-20 23:05:44: New best reward 58.0 (+9.4%) at episode 37, saving model...
03-20 23:05:44: New best reward 64.0 (+10.3%) at episode 95, saving model...
03-20 23:05:45: New best reward 71.0 (+10.9%) at episode 297, saving model...
03-20 23:05:45: New best reward 117.0 (+64.8%) at episode 385, saving model...
03-20 23:05:46: New best reward 178.0 (+52.1%) at episode 1211, saving model...
03-20 23:05:46: New best reward 208.0 (+16.9%) at episode 1308, saving model...
03-20 23:05:47: New best reward 253.0 (+21.6%) at episode 1735, saving model...
03-20 23:05:48: New best reward 456.0 (+80.2%) at episode 2016, saving model...
03-20 23:05:51: New best reward 460.0 (+0.9%) at episode 2380, saving model...
03-20 23:05:52: New best reward 497.0 (+8.0%) at episode 2510, saving model...
03-20 23:05:53: New best reward 549.0 (+10.5%) at episode 2608, saving model...
03-20 23:05:55: New best reward 559.0 (+1.8%) at episode 2782, saving model...
03-20 23:05:56: New best reward 572.0 (+2.3%) at episode 2858, saving model...
03-20 23:06:00: New best reward 675.0 (+18.0%) at episode 3416, saving model...
03-20 23:06:05: New best reward 719.0 (+6.5%) at episode 3939, saving model...
03-20 23:06:07: New best reward 917.0 (+27.5%) at episode 4035, saving model...
03-20 23:06:26: New best reward 974.0 (+6.2%) at episode 5675, saving model...
03-20 23:06:33: New best reward 1110.0 (+14.0%) at episode 6695, saving model...
03-20 23:06:34: New best reward 4694.0 (+322.9%) at episode 6697, saving model...
03-20 23:06:35: New best reward 8744.0 (+86.3%) at episode 6700, saving model...
03-20 23:06:36: New best reward 9260.0 (+5.9%) at episode 6714, saving model...
03-20 23:06:40: New best reward 100000.0 (+979.9%) at episode 6716, saving model...
