03-20 23:10:51: Training starting...
03-20 23:10:51: New best reward 17.0 (-100.0%) at episode 0, saving model...
03-20 23:10:51: New best reward 20.0 (+17.6%) at episode 1, saving model...
03-20 23:10:51: New best reward 31.0 (+55.0%) at episode 6, saving model...
03-20 23:10:51: New best reward 40.0 (+29.0%) at episode 14, saving model...
03-20 23:10:51: New best reward 41.0 (+2.5%) at episode 21, saving model...
03-20 23:10:51: New best reward 61.0 (+48.8%) at episode 29, saving model...
03-20 23:10:52: New best reward 62.0 (+1.6%) at episode 592, saving model...
03-20 23:10:52: New best reward 80.0 (+29.0%) at episode 619, saving model...
03-20 23:10:52: New best reward 100.0 (+25.0%) at episode 828, saving model...
03-20 23:10:52: New best reward 104.0 (+4.0%) at episode 941, saving model...
03-20 23:10:53: New best reward 115.0 (+10.6%) at episode 1214, saving model...
03-20 23:10:53: New best reward 127.0 (+10.4%) at episode 1783, saving model...
03-20 23:10:55: New best reward 147.0 (+15.7%) at episode 2928, saving model...
03-20 23:10:57: New best reward 156.0 (+6.1%) at episode 4500, saving model...
03-20 23:10:58: New best reward 170.0 (+9.0%) at episode 4603, saving model...
03-20 23:10:58: New best reward 198.0 (+16.5%) at episode 4832, saving model...
03-20 23:10:59: New best reward 254.0 (+28.3%) at episode 5483, saving model...
03-20 23:11:04: New best reward 309.0 (+21.7%) at episode 7232, saving model...
03-20 23:11:08: New best reward 329.0 (+6.5%) at episode 8839, saving model...
03-20 23:11:09: New best reward 352.0 (+7.0%) at episode 9054, saving model...
03-20 23:11:10: New best reward 423.0 (+20.2%) at episode 9456, saving model...
03-20 23:11:18: New best reward 520.0 (+22.9%) at episode 11190, saving model...
03-20 23:11:38: New best reward 591.0 (+13.7%) at episode 14428, saving model...
03-20 23:11:40: New best reward 596.0 (+0.8%) at episode 14733, saving model...
03-20 23:11:46: New best reward 635.0 (+6.5%) at episode 15205, saving model...
03-20 23:11:58: New best reward 642.0 (+1.1%) at episode 16590, saving model...
03-20 23:11:59: New best reward 653.0 (+1.7%) at episode 16699, saving model...
03-20 23:12:04: New best reward 721.0 (+10.4%) at episode 16897, saving model...
03-20 23:12:14: New best reward 949.0 (+31.6%) at episode 17839, saving model...
03-20 23:12:46: New best reward 1078.0 (+13.6%) at episode 20318, saving model...
03-20 23:14:27: New best reward 1247.0 (+15.7%) at episode 25215, saving model...
03-20 23:15:59: New best reward 1512.0 (+21.3%) at episode 28108, saving model...
03-20 23:19:30: New best reward 1577.0 (+4.3%) at episode 32853, saving model...
