03-21 10:05:11: Training starting...
03-21 10:05:12: New best reward -8.1 (-100.0%) at episode 0, saving model...
03-21 10:05:12: New best reward -6.9 (-14.8%) at episode 1, saving model...
03-21 10:05:12: New best reward -6.3 (-8.7%) at episode 4, saving model...
03-21 10:05:12: New best reward -3.9 (-38.1%) at episode 26, saving model...
03-21 10:05:12: New best reward 3.9 (-200.0%) at episode 35, saving model...
03-21 10:06:06: New best reward 4.1 (+5.1%) at episode 10442, saving model...
03-21 10:06:09: New best reward 4.5 (+9.8%) at episode 10861, saving model...
03-21 10:06:17: New best reward 4.6 (+2.2%) at episode 11891, saving model...
03-21 10:06:25: New best reward 4.8 (+4.3%) at episode 12950, saving model...
03-21 10:06:30: New best reward 6.0 (+25.0%) at episode 13798, saving model...
03-21 10:06:31: New best reward 6.1 (+1.7%) at episode 13827, saving model...
03-21 10:06:37: New best reward 6.3 (+3.3%) at episode 14443, saving model...
03-21 10:06:58: New best reward 6.4 (+1.6%) at episode 16216, saving model...
03-21 10:07:11: New best reward 6.6 (+3.1%) at episode 17419, saving model...
03-21 10:07:29: New best reward 6.7 (+1.5%) at episode 18996, saving model...
03-21 10:07:31: New best reward 6.8 (+1.5%) at episode 19122, saving model...
03-21 10:08:17: New best reward 7.8 (+14.7%) at episode 22052, saving model...
03-21 10:08:19: New best reward 8.4 (+7.7%) at episode 22383, saving model...
